¥éËid,device,timestamp,location_id,location_color,duration,mAccuracy,mAltitude,mBearing,mExtras_networkLocationSource,mExtras_networkLocationType,mExtras_satellites,mHasAccuracy,mHasAltitude,mHasBearing,mHasSpeed,mProvider,mSpeed,mTime
2aec078e-71c8-4260-9560-a8e0c0f03fbd-1,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385407713,0,#0000FF,0,20,0,0,cached,wifi,,TRUE,FALSE,FALSE,FALSE,network,0,1.39E+12
2aec078e-71c8-4260-9560-a8e0c0f03fbd-3,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385407826,0,#0000FF,112.684,20,0,0,cached,wifi,,TRUE,FALSE,FALSE,FALSE,network,0,1.39E+12
2aec078e-71c8-4260-9560-a8e0c0f03fbd-5,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385407827,0,#0000FF,1.25999999,20,0,0,cached,wifi,,TRUE,FALSE,FALSE,FALSE,network,0,1.39E+12
2aec078e-71c8-4260-9560-a8e0c0f03fbd-6,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385407828,0,#0000FF,0.964999914,20,0,0,cached,wifi,,TRUE,FALSE,FALSE,FALSE,network,0,1.39E+12
2aec078e-71c8-4260-9560-a8e0c0f03fbd-8,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385407840,0,#0000FF,11.92101002,20,0,0,cached,wifi,,TRUE,FALSE,FALSE,FALSE,network,0,1.39E+12
2aec078e-71c8-4260-9560-a8e0c0f03fbd-10,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385407858,0,#0000FF,17.546,20,0,0,cached,wifi,,TRUE,FALSE,FALSE,FALSE,network,0,1.39E+12
2aec078e-71c8-4260-9560-a8e0c0f03fbd-12,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385407878,0,#0000FF,20.37199998,20,0,0,cached,wifi,,TRUE,FALSE,FALSE,FALSE,network,0,1.39E+12
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-1,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385407934,0,#0000FF,56.20499992,20,0,0,cached,wifi,,TRUE,FALSE,FALSE,FALSE,network,0,1.39E+12
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-144,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385407935,0,#0000FF,1.121999979,20,0,0,cached,wifi,,TRUE,FALSE,FALSE,FALSE,network,0,1.39E+12
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-153,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385407935,0,#0000FF,0.068000078,20,0,0,cached,wifi,,TRUE,FALSE,FALSE,FALSE,network,0,1.39E+12
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-3906,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385407981,0,#0000FF,45.07800007,20,0,0,cached,wifi,,TRUE,FALSE,FALSE,FALSE,network,0,1.39E+12
