¥éËid,device,timestamp,_id,date,duration,name,number,numberlabel,numbertype,timestamp,type,datetime
42acb6c6-860b-42ea-8718-0261bb680d0e-1349,1a91d598-c454-476d-aec7-4ec2d0d91bc8,1374291812,7407,1.37E+12,0,"{""ONE_WAY_HASH"":""51937bc3d23127a74c3231a4d0dd22e8060eb555""}","{""ONE_WAY_HASH"":""36308e39487b3cfc42ff80d96dd96a3bb68f7991""}","{""ONE_WAY_HASH"":""""}","{""ONE_WAY_HASH"":""902ba3cda1883801594b6e1b452790cc53948fda""}",1374291812,1,7/19/13 10:43 PM
42acb6c6-860b-42ea-8718-0261bb680d0e-1350,1a91d598-c454-476d-aec7-4ec2d0d91bc8,1374291638,7406,1.37E+12,0,"{""ONE_WAY_HASH"":""51937bc3d23127a74c3231a4d0dd22e8060eb555""}","{""ONE_WAY_HASH"":""36308e39487b3cfc42ff80d96dd96a3bb68f7991""}","{""ONE_WAY_HASH"":""""}","{""ONE_WAY_HASH"":""902ba3cda1883801594b6e1b452790cc53948fda""}",1374291638,2,7/19/13 10:40 PM
42acb6c6-860b-42ea-8718-0261bb680d0e-1351,1a91d598-c454-476d-aec7-4ec2d0d91bc8,1374291106,7405,1.37E+12,0,"{""ONE_WAY_HASH"":""6cd7e0da5eafbb3f24598db6eaaf4495fd4dafbf""}","{""ONE_WAY_HASH"":""572ee3ed0e7c54f9f603f61190bc791804066242""}","{""ONE_WAY_HASH"":""""}","{""ONE_WAY_HASH"":""902ba3cda1883801594b6e1b452790cc53948fda""}",1374291106,2,7/19/13 10:31 PM
42acb6c6-860b-42ea-8718-0261bb680d0e-1352,1a91d598-c454-476d-aec7-4ec2d0d91bc8,1374290872,7404,1.37E+12,0,"{""ONE_WAY_HASH"":""51937bc3d23127a74c3231a4d0dd22e8060eb555""}","{""ONE_WAY_HASH"":""36308e39487b3cfc42ff80d96dd96a3bb68f7991""}","{""ONE_WAY_HASH"":""""}","{""ONE_WAY_HASH"":""902ba3cda1883801594b6e1b452790cc53948fda""}",1374290872,2,7/19/13 10:27 PM
42acb6c6-860b-42ea-8718-0261bb680d0e-1353,1a91d598-c454-476d-aec7-4ec2d0d91bc8,1374290831,7403,1.37E+12,0,"{""ONE_WAY_HASH"":""6cd7e0da5eafbb3f24598db6eaaf4495fd4dafbf""}","{""ONE_WAY_HASH"":""572ee3ed0e7c54f9f603f61190bc791804066242""}","{""ONE_WAY_HASH"":""""}","{""ONE_WAY_HASH"":""902ba3cda1883801594b6e1b452790cc53948fda""}",1374290831,1,7/19/13 10:27 PM
42acb6c6-860b-42ea-8718-0261bb680d0e-1354,1a91d598-c454-476d-aec7-4ec2d0d91bc8,1374290820,7402,1.37E+12,0,"{""ONE_WAY_HASH"":""51937bc3d23127a74c3231a4d0dd22e8060eb555""}","{""ONE_WAY_HASH"":""36308e39487b3cfc42ff80d96dd96a3bb68f7991""}","{""ONE_WAY_HASH"":""""}","{""ONE_WAY_HASH"":""902ba3cda1883801594b6e1b452790cc53948fda""}",1374290820,1,7/19/13 10:27 PM
42acb6c6-860b-42ea-8718-0261bb680d0e-1355,1a91d598-c454-476d-aec7-4ec2d0d91bc8,1374290375,7401,1.37E+12,0,"{""ONE_WAY_HASH"":""51937bc3d23127a74c3231a4d0dd22e8060eb555""}","{""ONE_WAY_HASH"":""36308e39487b3cfc42ff80d96dd96a3bb68f7991""}","{""ONE_WAY_HASH"":""""}","{""ONE_WAY_HASH"":""902ba3cda1883801594b6e1b452790cc53948fda""}",1374290375,1,7/19/13 10:19 PM
42acb6c6-860b-42ea-8718-0261bb680d0e-1356,1a91d598-c454-476d-aec7-4ec2d0d91bc8,1374290355,7400,1.37E+12,0,"{""ONE_WAY_HASH"":""51937bc3d23127a74c3231a4d0dd22e8060eb555""}","{""ONE_WAY_HASH"":""36308e39487b3cfc42ff80d96dd96a3bb68f7991""}","{""ONE_WAY_HASH"":""""}","{""ONE_WAY_HASH"":""902ba3cda1883801594b6e1b452790cc53948fda""}",1374290355,2,7/19/13 10:19 PM
42acb6c6-860b-42ea-8718-0261bb680d0e-1357,1a91d598-c454-476d-aec7-4ec2d0d91bc8,1374290322,7399,1.37E+12,0,"{""ONE_WAY_HASH"":""51937bc3d23127a74c3231a4d0dd22e8060eb555""}","{""ONE_WAY_HASH"":""36308e39487b3cfc42ff80d96dd96a3bb68f7991""}","{""ONE_WAY_HASH"":""""}","{""ONE_WAY_HASH"":""902ba3cda1883801594b6e1b452790cc53948fda""}",1374290322,1,7/19/13 10:18 PM
42acb6c6-860b-42ea-8718-0261bb680d0e-1358,1a91d598-c454-476d-aec7-4ec2d0d91bc8,1374289957,7398,1.37E+12,31,"{""ONE_WAY_HASH"":""ce2cb4fa736ed39019c7905205ecce08b2b6b137""}","{""ONE_WAY_HASH"":""8548223baa57f8ee6d6fbf17131e246d4943c2c5""}","{""ONE_WAY_HASH"":""""}","{""ONE_WAY_HASH"":""902ba3cda1883801594b6e1b452790cc53948fda""}",1374289957,2,7/19/13 10:12 PM
